CaseID,ActivityID,CompleteTimestamp,Resource,ElapsedTime
Case No. 3,6,2018-05-17 08:19:26,4,30
Case No. 4,0,2018-05-17 08:04:05,9,-921
Case No. 4,1,2018-05-17 08:04:15,1,10
Case No. 4,2,2018-05-17 08:04:35,2,20
Case No. 4,3,2018-05-17 08:05:25,11,50
Case No. 4,4,2018-05-17 08:05:37,8,12
Case No. 4,5,2018-05-17 08:05:45,3,8
Case No. 4,8,2018-05-17 08:06:25,10,40
Case No. 4,6,2018-05-17 08:06:55,6,30
Case No. 4,7,2018-05-17 08:07:35,7,40
Case No. 4,9,2018-05-17 08:07:41,3,6
Case No. 4,7,2018-05-17 08:09:01,6,80
Case No. 4,6,2018-05-17 08:09:31,6,30
Case No. 4,9,2018-05-17 08:09:34,6,3
Case No. 5,0,2018-05-17 12:26:11,0,15397
Case No. 5,1,2018-05-17 12:26:21,1,10
Case No. 5,2,2018-05-17 12:26:51,2,30
Case No. 5,3,2018-05-17 12:27:41,3,50
Case No. 5,4,2018-05-17 12:28:05,4,24
Case No. 5,5,2018-05-17 12:28:13,3,8
Case No. 5,6,2018-05-17 12:29:13,6,60
Case No. 5,7,2018-05-17 12:29:53,7,40
Case No. 5,9,2018-05-17 12:29:56,3,3
Case No. 5,8,2018-05-17 12:30:36,8,40
Case No. 5,6,2018-05-17 12:31:36,3,60
Case No. 5,7,2018-05-17 12:33:36,3,120
Case No. 6,0,2018-05-17 04:23:56,9,-29380
Case No. 6,1,2018-05-17 04:24:06,1,10
Case No. 6,2,2018-05-17 04:24:26,2,20
Case No. 6,3,2018-05-17 04:24:51,11,25
Case No. 6,4,2018-05-17 04:25:03,8,12
Case No. 6,5,2018-05-17 04:25:19,3,16
Case No. 6,8,2018-05-17 04:25:39,3,20
Case No. 6,8,2018-05-17 04:26:19,3,40
Case No. 6,6,2018-05-17 04:26:49,3,30
Case No. 6,6,2018-05-17 04:28:19,6,90
Case No. 6,7,2018-05-17 04:28:59,7,40
Case No. 6,8,2018-05-17 04:29:59,12,60
Case No. 6,9,2018-05-17 04:30:02,3,3
Case No. 7,0,2018-05-17 16:09:30,0,41968
Case No. 7,1,2018-05-17 16:09:45,1,15
Case No. 7,2,2018-05-17 16:09:55,2,10
Case No. 7,3,2018-05-17 16:11:10,3,75
Case No. 7,4,2018-05-17 16:11:22,4,12
Case No. 7,5,2018-05-17 16:11:38,3,16
Case No. 7,6,2018-05-17 16:12:08,6,30
Case No. 7,7,2018-05-17 16:12:48,7,40
Case No. 7,8,2018-05-17 16:13:28,3,40
Case No. 7,7,2018-05-17 16:15:28,3,120
Case No. 7,7,2018-05-17 16:17:28,3,120
Case No. 7,7,2018-05-17 16:18:48,3,80
Case No. 8,0,2018-05-17 12:14:24,9,-14664
Case No. 8,1,2018-05-17 12:14:39,1,15
Case No. 8,2,2018-05-17 12:14:49,2,10
Case No. 8,3,2018-05-17 12:15:14,11,25
Case No. 8,4,2018-05-17 12:15:50,8,36
Case No. 8,5,2018-05-17 12:16:14,3,24
Case No. 8,6,2018-05-17 12:16:44,6,30
Case No. 8,7,2018-05-17 12:17:24,7,40
Case No. 8,6,2018-05-17 12:17:54,7,30
Case No. 8,8,2018-05-17 12:18:54,10,60
Case No. 8,7,2018-05-17 12:19:34,12,40
Case No. 8,9,2018-05-17 12:19:43,6,9
Case No. 8,8,2018-05-17 12:20:43,3,60
Case No. 9,0,2018-05-17 04:21:48,3,-28735
Case No. 9,9,2018-05-17 04:21:51,2,3
Case No. 9,6,2018-05-17 04:23:21,11,90
Case No. 9,5,2018-05-17 04:23:29,13,8
Case No. 9,4,2018-05-17 04:23:53,5,24
Case No. 9,2,2018-05-17 04:24:13,14,20
Case No. 9,1,2018-05-17 04:24:28,15,15
Case No. 9,3,2018-05-17 04:25:43,3,75
Case No. 9,8,2018-05-17 04:26:23,6,40
Case No. 9,2,2018-05-17 04:26:33,14,10
Case No. 9,4,2018-05-17 04:27:09,3,36
Case No. 9,1,2018-05-17 04:27:24,8,15
Case No. 10,0,2018-05-17 08:19:41,9,13937
Case No. 10,1,2018-05-17 08:19:56,1,15
Case No. 10,2,2018-05-17 08:20:16,2,20
Case No. 10,3,2018-05-17 08:20:41,11,25
Case No. 10,4,2018-05-17 08:20:53,8,12
Case No. 10,5,2018-05-17 08:21:09,3,16
Case No. 10,8,2018-05-17 08:21:29,12,20
Case No. 10,6,2018-05-17 08:22:59,6,90
Case No. 10,7,2018-05-17 08:24:59,7,120
Case No. 10,9,2018-05-17 08:25:02,3,3
Case No. 10,7,2018-05-17 08:27:02,7,120
Case No. 10,6,2018-05-17 08:27:32,9,30
Case No. 10,9,2018-05-17 08:27:41,3,9
Case No. 11,0,2018-05-17 20:01:38,0,41637
Case No. 11,1,2018-05-17 20:01:53,1,15
Case No. 11,2,2018-05-17 20:02:03,2,10
Case No. 11,3,2018-05-17 20:03:18,3,75
Case No. 11,4,2018-05-17 20:03:42,4,24
Case No. 11,5,2018-05-17 20:03:50,3,8
Case No. 11,6,2018-05-17 20:04:20,6,30
Case No. 11,7,2018-05-17 20:05:00,7,40
Case No. 11,7,2018-05-17 20:07:00,3,120
Case No. 11,7,2018-05-17 20:09:00,3,120
Case No. 11,7,2018-05-17 20:10:20,3,80
Case No. 11,7,2018-05-17 20:12:20,3,120
Case No. 12,0,2018-05-17 16:04:53,0,-14847
Case No. 12,1,2018-05-17 16:04:58,1,5
Case No. 12,2,2018-05-17 16:05:18,2,20
Case No. 12,3,2018-05-17 16:06:08,11,50
Case No. 12,4,2018-05-17 16:06:32,8,24
Case No. 12,5,2018-05-17 16:06:40,3,8
Case No. 12,8,2018-05-17 16:07:20,10,40
Case No. 12,9,2018-05-17 16:07:23,6,3
Case No. 12,6,2018-05-17 16:07:53,6,30
Case No. 12,7,2018-05-17 16:08:33,7,40
Case No. 12,7,2018-05-17 16:09:13,3,40
Case No. 12,7,2018-05-17 16:09:53,4,40
Case No. 12,6,2018-05-17 16:10:53,6,60
Case No. 13,0,2018-05-18 00:43:20,9,30747
Case No. 13,1,2018-05-18 00:43:35,1,15
Case No. 13,2,2018-05-18 00:43:45,2,10
Case No. 13,3,2018-05-18 00:44:10,3,25
Case No. 13,4,2018-05-18 00:44:34,4,24
Case No. 13,5,2018-05-18 00:44:42,3,8
Case No. 13,6,2018-05-18 00:45:42,6,60
Case No. 13,7,2018-05-18 00:46:22,7,40
Case No. 13,7,2018-05-18 00:48:22,3,120
Case No. 13,7,2018-05-18 00:50:22,3,120
Case No. 13,7,2018-05-18 00:52:22,3,120
Case No. 13,7,2018-05-18 00:53:02,3,40
Case No. 14,0,2018-05-17 20:13:06,0,-16796
Case No. 14,1,2018-05-17 20:13:16,1,10
Case No. 14,2,2018-05-17 20:13:46,2,30
Case No. 14,3,2018-05-17 20:14:36,11,50
Case No. 14,4,2018-05-17 20:15:00,8,24
Case No. 14,5,2018-05-17 20:15:16,3,16
Case No. 14,8,2018-05-17 20:15:36,10,20
Case No. 14,9,2018-05-17 20:15:42,6,6
Case No. 14,6,2018-05-17 20:16:12,6,30
Case No. 14,7,2018-05-17 20:16:52,7,40
Case No. 14,7,2018-05-17 20:17:32,3,40
Case No. 14,7,2018-05-17 20:18:52,3,80
Case No. 14,7,2018-05-17 20:20:52,3,120
Case No. 15,0,2018-05-18 04:11:33,9,28241
Case No. 15,1,2018-05-18 04:11:48,1,15
Case No. 15,2,2018-05-18 04:12:18,2,30
Case No. 15,3,2018-05-18 04:13:33,3,75
Case No. 15,4,2018-05-18 04:13:57,4,24
Case No. 15,5,2018-05-18 04:14:21,3,24
Case No. 15,6,2018-05-18 04:14:51,6,30
Case No. 15,7,2018-05-18 04:16:51,7,120
Case No. 15,7,2018-05-18 04:17:31,3,40
Case No. 15,7,2018-05-18 04:18:11,3,40
Case No. 15,7,2018-05-18 04:20:11,3,120
Case No. 15,7,2018-05-18 04:22:11,4,120
Case No. 16,0,2018-05-17 12:43:27,9,-56324
Case No. 16,1,2018-05-17 12:43:37,1,10
Case No. 16,2,2018-05-17 12:43:47,2,10
Case No. 16,3,2018-05-17 12:45:02,11,75
Case No. 16,4,2018-05-17 12:45:38,8,36
Case No. 16,5,2018-05-17 12:46:02,3,24
Case No. 16,6,2018-05-17 12:47:02,6,60
Case No. 16,7,2018-05-17 12:49:02,7,120
Case No. 16,8,2018-05-17 12:49:22,12,20
Case No. 16,8,2018-05-17 12:49:42,12,20
Case No. 16,8,2018-05-17 12:50:22,8,40
Case No. 16,9,2018-05-17 12:50:28,3,6
Case No. 16,8,2018-05-17 12:51:08,3,40
Case No. 17,0,2018-05-18 08:02:24,0,69076
Case No. 17,1,2018-05-18 08:02:39,1,15
Case No. 17,2,2018-05-18 08:02:49,2,10
Case No. 17,3,2018-05-18 08:03:39,3,50
Case No. 17,4,2018-05-18 08:03:51,4,12
Case No. 17,5,2018-05-18 08:03:59,4,8
Case No. 17,6,2018-05-18 08:04:59,6,60
Case No. 17,7,2018-05-18 08:06:19,7,80
Case No. 17,7,2018-05-18 08:06:59,3,40
Case No. 17,7,2018-05-18 08:08:19,3,80
Case No. 17,7,2018-05-18 08:10:19,3,120
Case No. 17,7,2018-05-18 08:11:39,3,80
Case No. 18,0,2018-05-18 00:11:39,9,-28800
Case No. 18,1,2018-05-18 00:11:44,1,5
Case No. 18,2,2018-05-18 00:12:04,2,20
Case No. 18,3,2018-05-18 00:13:19,11,75
Case No. 18,4,2018-05-18 00:13:31,8,12
Case No. 18,5,2018-05-18 00:13:47,3,16
Case No. 18,8,2018-05-18 00:14:07,10,20
Case No. 18,9,2018-05-18 00:14:13,6,6
Case No. 18,6,2018-05-18 00:15:13,6,60
Case No. 18,7,2018-05-18 00:16:33,7,80
Case No. 18,7,2018-05-18 00:17:53,3,80
Case No. 18,7,2018-05-18 00:19:13,3,80
Case No. 18,7,2018-05-18 00:20:33,3,80
Case No. 19,0,2018-05-17 08:07:52,3,-58361
Case No. 19,9,2018-05-17 08:07:58,2,6
Case No. 19,6,2018-05-17 08:08:58,11,60
Case No. 19,5,2018-05-17 08:09:06,13,8
Case No. 19,4,2018-05-17 08:09:18,5,12
Case No. 19,2,2018-05-17 08:09:38,14,20
Case No. 19,1,2018-05-17 08:09:43,15,5
Case No. 19,3,2018-05-17 08:10:33,3,50
Case No. 19,5,2018-05-17 08:10:49,8,16
Case No. 19,8,2018-05-17 08:11:29,8,40
Case No. 19,6,2018-05-17 08:11:59,8,30
Case No. 19,7,2018-05-17 08:13:59,3,120
Case No. 20,0,2018-05-17 16:30:24,0,29785
Case No. 20,1,2018-05-17 16:30:39,1,15
Case No. 20,2,2018-05-17 16:30:49,2,10
Case No. 20,3,2018-05-17 16:32:04,11,75
Case No. 20,4,2018-05-17 16:32:40,8,36
Case No. 20,5,2018-05-17 16:32:48,3,8
Case No. 20,8,2018-05-17 16:33:28,12,40
Case No. 20,9,2018-05-17 16:33:31,3,3
Case No. 20,6,2018-05-17 16:34:31,6,60
Case No. 20,7,2018-05-17 16:36:31,7,120
Case No. 20,9,2018-05-17 16:36:34,3,3
Case No. 20,7,2018-05-17 16:37:14,3,40
Case No. 20,6,2018-05-17 16:37:44,4,30
Case No. 21,0,2018-05-18 12:19:00,9,70876
Case No. 21,1,2018-05-18 12:19:05,1,5
Case No. 21,2,2018-05-18 12:19:15,2,10
Case No. 21,3,2018-05-18 12:20:05,3,50
Case No. 21,4,2018-05-18 12:20:29,4,24
Case No. 21,5,2018-05-18 12:20:37,4,8
Case No. 21,6,2018-05-18 12:21:07,6,30
Case No. 21,7,2018-05-18 12:21:47,7,40
Case No. 21,7,2018-05-18 12:23:07,3,80
Case No. 21,7,2018-05-18 12:25:07,3,120
Case No. 21,7,2018-05-18 12:25:47,3,40
Case No. 21,7,2018-05-18 12:27:07,3,80
Case No. 22,0,2018-05-18 04:05:35,9,-30092
Case No. 22,1,2018-05-18 04:05:45,1,10
Case No. 22,2,2018-05-18 04:06:05,2,20
Case No. 22,3,2018-05-18 04:06:55,11,50
Case No. 22,4,2018-05-18 04:07:07,8,12
Case No. 22,5,2018-05-18 04:07:15,3,8
Case No. 22,8,2018-05-18 04:07:55,10,40
Case No. 22,9,2018-05-18 04:08:04,6,9
Case No. 22,6,2018-05-18 04:09:04,6,60
Case No. 22,7,2018-05-18 04:11:04,7,120
Case No. 22,7,2018-05-18 04:11:44,3,40
Case No. 22,7,2018-05-18 04:13:04,3,80
Case No. 22,7,2018-05-18 04:13:44,4,40
Case No. 23,0,2018-05-18 16:04:14,9,42630
Case No. 23,1,2018-05-18 16:04:19,1,5
Case No. 23,2,2018-05-18 16:04:49,2,30
Case No. 23,3,2018-05-18 16:06:04,3,75
Case No. 23,4,2018-05-18 16:06:16,4,12
Case No. 23,5,2018-05-18 16:06:24,5,8
Case No. 23,6,2018-05-18 16:07:24,6,60
Case No. 23,7,2018-05-18 16:08:04,7,40
Case No. 23,7,2018-05-18 16:09:24,3,80
Case No. 23,7,2018-05-18 16:11:24,3,120
Case No. 23,7,2018-05-18 16:12:44,3,80
Case No. 23,7,2018-05-18 16:14:44,3,120
Case No. 24,0,2018-05-18 08:12:43,0,-28921
Case No. 24,1,2018-05-18 08:12:58,1,15
Case No. 24,2,2018-05-18 08:13:18,2,20
Case No. 24,3,2018-05-18 08:13:43,11,25
Case No. 24,4,2018-05-18 08:14:07,8,24
Case No. 24,5,2018-05-18 08:14:15,4,8
Case No. 24,8,2018-05-18 08:15:15,10,60
Case No. 24,9,2018-05-18 08:15:18,6,3
Case No. 24,6,2018-05-18 08:16:48,6,90
Case No. 24,7,2018-05-18 08:17:28,7,40
Case No. 24,7,2018-05-18 08:18:48,3,80
Case No. 24,7,2018-05-18 08:20:08,3,80
Case No. 24,7,2018-05-18 08:20:48,3,40
Case No. 25,0,2018-05-18 20:41:40,0,44452
Case No. 25,1,2018-05-18 20:41:55,1,15
Case No. 25,2,2018-05-18 20:42:05,2,10
Case No. 25,3,2018-05-18 20:42:30,3,25
Case No. 25,4,2018-05-18 20:42:54,4,24
Case No. 25,5,2018-05-18 20:43:10,6,16
Case No. 25,6,2018-05-18 20:44:40,6,90
Case No. 25,7,2018-05-18 20:45:20,7,40
Case No. 25,7,2018-05-18 20:46:40,3,80
Case No. 25,7,2018-05-18 20:48:00,3,80
Case No. 25,7,2018-05-18 20:49:20,3,80
Case No. 25,7,2018-05-18 20:50:00,3,40
Case No. 26,0,2018-05-17 20:44:44,0,-86716
Case No. 26,1,2018-05-17 20:44:59,1,15
Case No. 26,2,2018-05-17 20:45:09,2,10
Case No. 26,3,2018-05-17 20:46:24,11,75
Case No. 26,4,2018-05-17 20:47:00,8,36
Case No. 26,5,2018-05-17 20:47:16,3,16
Case No. 26,8,2018-05-17 20:47:36,12,20
Case No. 26,9,2018-05-17 20:47:45,3,9
Case No. 26,6,2018-05-17 20:49:15,6,90
Case No. 26,7,2018-05-17 20:50:35,7,80
Case No. 26,7,2018-05-17 20:51:55,3,80
Case No. 26,8,2018-05-17 20:52:55,3,60
Case No. 26,7,2018-05-17 20:54:55,3,120
Case No. 27,0,2018-05-19 00:01:36,9,97601
Case No. 27,1,2018-05-19 00:01:51,1,15
Case No. 27,2,2018-05-19 00:02:01,2,10
Case No. 27,3,2018-05-19 00:02:51,3,50
Case No. 27,4,2018-05-19 00:03:27,4,36
Case No. 27,5,2018-05-19 00:03:51,6,24
Case No. 27,6,2018-05-19 00:04:51,6,60
Case No. 27,7,2018-05-19 00:06:11,7,80
Case No. 27,7,2018-05-19 00:06:51,3,40
Case No. 27,7,2018-05-19 00:08:11,3,80
Case No. 27,7,2018-05-19 00:10:11,3,120
Case No. 27,7,2018-05-19 00:12:11,3,120
Case No. 28,0,2018-05-18 12:11:54,9,-43217
Case No. 28,1,2018-05-18 12:12:04,1,10
Case No. 28,2,2018-05-18 12:12:34,2,30
Case No. 28,3,2018-05-18 12:13:24,11,50
Case No. 28,4,2018-05-18 12:14:00,8,36
Case No. 28,5,2018-05-18 12:14:16,4,16
Case No. 28,8,2018-05-18 12:14:36,10,20
Case No. 28,9,2018-05-18 12:14:42,6,6
Case No. 28,6,2018-05-18 12:15:42,6,60
Case No. 28,7,2018-05-18 12:16:22,7,40
Case No. 28,7,2018-05-18 12:17:02,3,40
Case No. 28,7,2018-05-18 12:18:22,3,80
Case No. 28,7,2018-05-18 12:19:42,3,80
Case No. 29,0,2018-05-17 12:16:54,3,-86568
Case No. 29,9,2018-05-17 12:17:00,2,6
Case No. 29,6,2018-05-17 12:18:30,11,90
Case No. 29,5,2018-05-17 12:18:46,13,16
Case No. 29,4,2018-05-17 12:19:10,5,24
Case No. 29,2,2018-05-17 12:19:30,14,20
Case No. 29,1,2018-05-17 12:19:40,15,10
Case No. 29,3,2018-05-17 12:20:55,3,75
Case No. 29,4,2018-05-17 12:21:19,3,24
Case No. 29,4,2018-05-17 12:21:31,3,12
Case No. 29,7,2018-05-17 12:22:11,3,40
Case No. 29,7,2018-05-17 12:23:31,3,80
Case No. 30,0,2018-05-18 00:12:08,0,42517
Case No. 30,1,2018-05-18 00:12:18,1,10
Case No. 30,2,2018-05-18 00:12:28,2,10
Case No. 30,3,2018-05-18 00:12:53,11,25
Case No. 30,4,2018-05-18 00:13:05,8,12
Case No. 30,5,2018-05-18 00:13:21,3,16
Case No. 30,8,2018-05-18 00:14:01,12,40
Case No. 30,9,2018-05-18 00:14:10,3,9
Case No. 30,6,2018-05-18 00:15:40,6,90
Case No. 30,7,2018-05-18 00:16:20,7,40
Case No. 30,7,2018-05-18 00:18:20,3,120
Case No. 30,7,2018-05-18 00:19:40,3,80
Case No. 30,7,2018-05-18 00:21:00,3,80
Case No. 31,0,2018-05-19 04:31:18,0,101418
Case No. 31,1,2018-05-19 04:31:23,1,5
Case No. 31,2,2018-05-19 04:31:33,2,10
Case No. 31,3,2018-05-19 04:32:23,3,50
Case No. 31,4,2018-05-19 04:32:47,4,24
Case No. 31,5,2018-05-19 04:33:03,5,16
Case No. 31,6,2018-05-19 04:33:33,6,30
Case No. 31,7,2018-05-19 04:34:13,7,40
Case No. 31,7,2018-05-19 04:34:53,3,40
Case No. 31,7,2018-05-19 04:36:53,3,120
Case No. 31,7,2018-05-19 04:37:33,3,40
Case No. 31,7,2018-05-19 04:39:33,3,120
Case No. 32,0,2018-05-18 16:08:49,9,-45044
Case No. 32,1,2018-05-18 16:09:04,1,15
Case No. 32,2,2018-05-18 16:09:34,2,30
Case No. 32,3,2018-05-18 16:09:59,11,25
Case No. 32,4,2018-05-18 16:10:35,8,36
Case No. 32,5,2018-05-18 16:10:43,9,8
Case No. 32,8,2018-05-18 16:11:03,10,20
Case No. 32,9,2018-05-18 16:11:12,6,9
Case No. 32,6,2018-05-18 16:11:42,6,30
Case No. 32,7,2018-05-18 16:13:02,7,80
Case No. 32,7,2018-05-18 16:13:42,3,40
Case No. 32,7,2018-05-18 16:14:22,3,40
Case No. 32,7,2018-05-18 16:15:42,3,80
Case No. 33,0,2018-05-19 08:23:56,0,58094
Case No. 33,1,2018-05-19 08:24:11,1,15
Case No. 33,2,2018-05-19 08:24:21,2,10
Case No. 33,3,2018-05-19 08:25:11,3,50
Case No. 33,4,2018-05-19 08:25:23,4,12
Case No. 33,5,2018-05-19 08:25:39,15,16
Case No. 33,6,2018-05-19 08:26:09,6,30
Case No. 33,7,2018-05-19 08:27:29,7,80
Case No. 33,7,2018-05-19 08:28:49,3,80
Case No. 33,7,2018-05-19 08:30:09,3,80
Case No. 33,7,2018-05-19 08:32:09,3,120
Case No. 33,7,2018-05-19 08:33:29,3,80
Case No. 34,0,2018-05-18 20:47:11,0,-42378
Case No. 34,1,2018-05-18 20:47:16,1,5
Case No. 34,2,2018-05-18 20:47:36,2,20
Case No. 34,3,2018-05-18 20:48:26,11,50
Case No. 34,4,2018-05-18 20:48:38,8,12
Case No. 34,5,2018-05-18 20:48:46,6,8
Case No. 34,8,2018-05-18 20:49:26,10,40
Case No. 34,9,2018-05-18 20:49:35,6,9
Case No. 34,6,2018-05-18 20:50:35,6,60
Case No. 34,7,2018-05-18 20:51:15,7,40
Case No. 34,7,2018-05-18 20:53:15,3,120
Case No. 34,7,2018-05-18 20:55:15,3,120
Case No. 34,7,2018-05-18 20:57:15,3,120
Case No. 35,0,2018-05-19 12:14:24,9,55029
Case No. 35,1,2018-05-19 12:14:29,1,5
Case No. 35,2,2018-05-19 12:14:39,2,10
Case No. 35,3,2018-05-19 12:15:04,3,25
Case No. 35,4,2018-05-19 12:15:28,4,24
Case No. 35,5,2018-05-19 12:15:52,15,24
Case No. 35,6,2018-05-19 12:16:52,6,60
Case No. 35,7,2018-05-19 12:18:52,7,120
Case No. 35,7,2018-05-19 12:20:52,3,120
Case No. 35,7,2018-05-19 12:22:52,3,120
Case No. 35,7,2018-05-19 12:24:12,3,80
Case No. 35,7,2018-05-19 12:24:52,3,40
Case No. 36,0,2018-05-18 04:05:32,9,-116360
Case No. 36,1,2018-05-18 04:05:47,1,15
Case No. 36,2,2018-05-18 04:06:17,2,30
Case No. 36,3,2018-05-18 04:06:42,11,25
Case No. 36,4,2018-05-18 04:07:18,8,36
Case No. 36,5,2018-05-18 04:07:42,3,24
Case No. 36,8,2018-05-18 04:08:22,12,40
Case No. 36,9,2018-05-18 04:08:25,3,3
Case No. 36,6,2018-05-18 04:09:25,6,60
Case No. 36,7,2018-05-18 04:10:05,7,40
Case No. 36,7,2018-05-18 04:10:45,3,40
Case No. 36,7,2018-05-18 04:11:25,3,40
Case No. 36,7,2018-05-18 04:12:05,3,40
Case No. 37,0,2018-05-19 16:46:53,0,131688
Case No. 37,1,2018-05-19 16:47:03,1,10
Case No. 37,2,2018-05-19 16:47:33,2,30
Case No. 37,3,2018-05-19 16:47:58,3,25
Case No. 37,4,2018-05-19 16:48:34,4,36
Case No. 37,5,2018-05-19 16:48:58,9,24
Case No. 37,6,2018-05-19 16:49:28,6,30
Case No. 37,7,2018-05-19 16:51:28,7,120
Case No. 37,7,2018-05-19 16:52:48,3,80
Case No. 37,7,2018-05-19 16:53:28,3,40
Case No. 37,7,2018-05-19 16:54:48,3,80
Case No. 37,7,2018-05-19 16:56:48,3,120
Case No. 38,0,2018-05-19 00:43:25,9,-58403
Case No. 38,1,2018-05-19 00:43:30,1,5
Case No. 38,2,2018-05-19 00:43:50,2,20
Case No. 38,3,2018-05-19 00:44:15,11,25
Case No. 38,4,2018-05-19 00:44:27,8,12
Case No. 38,5,2018-05-19 00:44:43,6,16
Case No. 38,8,2018-05-19 00:45:23,10,40
Case No. 38,9,2018-05-19 00:45:29,6,6
Case No. 38,6,2018-05-19 00:46:29,6,60
Case No. 38,7,2018-05-19 00:48:29,7,120
Case No. 38,7,2018-05-19 00:50:29,3,120
Case No. 38,7,2018-05-19 00:52:29,3,120
Case No. 38,7,2018-05-19 00:53:09,3,40
Case No. 39,0,2018-05-17 16:17:00,3,-117369
Case No. 39,9,2018-05-17 16:17:06,2,6
Case No. 39,6,2018-05-17 16:18:36,11,90
Case No. 39,5,2018-05-17 16:18:44,13,8
Case No. 39,4,2018-05-17 16:19:08,5,24
Case No. 39,2,2018-05-17 16:19:18,14,10
Case No. 39,1,2018-05-17 16:19:33,15,15
Case No. 39,3,2018-05-17 16:19:58,3,25
Case No. 39,7,2018-05-17 16:21:58,3,120
Case No. 39,6,2018-05-17 16:22:28,3,30
Case No. 39,7,2018-05-17 16:23:48,3,80
Case No. 39,7,2018-05-17 16:24:28,3,40
Case No. 40,0,2018-05-18 08:17:49,9,57201
Case No. 40,1,2018-05-18 08:17:59,1,10
Case No. 40,2,2018-05-18 08:18:29,2,30
Case No. 40,3,2018-05-18 08:19:19,11,50
Case No. 40,4,2018-05-18 08:19:31,8,12
Case No. 40,5,2018-05-18 08:19:55,3,24
Case No. 40,8,2018-05-18 08:20:35,12,40
Case No. 40,9,2018-05-18 08:20:41,3,6
Case No. 40,6,2018-05-18 08:22:11,6,90
Case No. 40,7,2018-05-18 08:24:11,7,120
Case No. 40,7,2018-05-18 08:26:11,3,120
Case No. 40,7,2018-05-18 08:27:31,3,80
Case No. 40,7,2018-05-18 08:29:31,4,120
Case No. 41,0,2018-05-19 20:04:46,0,128115
Case No. 41,1,2018-05-19 20:04:51,1,5
Case No. 41,2,2018-05-19 20:05:21,2,30
Case No. 41,3,2018-05-19 20:05:46,3,25
Case No. 41,4,2018-05-19 20:05:58,4,12
Case No. 41,5,2018-05-19 20:06:06,7,8
Case No. 41,6,2018-05-19 20:07:36,6,90
Case No. 41,7,2018-05-19 20:08:56,7,80
Case No. 41,7,2018-05-19 20:10:16,3,80
Case No. 41,7,2018-05-19 20:10:56,3,40
Case No. 41,7,2018-05-19 20:11:36,3,40
Case No. 41,7,2018-05-19 20:12:16,3,40
Case No. 42,0,2018-05-19 04:24:46,9,-56850
Case No. 42,1,2018-05-19 04:24:56,1,10
Case No. 42,2,2018-05-19 04:25:06,2,10
Case No. 42,3,2018-05-19 04:25:31,11,25
Case No. 42,4,2018-05-19 04:25:43,8,12
Case No. 42,5,2018-05-19 04:25:59,0,16
Case No. 42,8,2018-05-19 04:26:19,10,20
Case No. 42,9,2018-05-19 04:26:22,6,3
Case No. 42,6,2018-05-19 04:26:52,6,30
Case No. 42,7,2018-05-19 04:28:12,7,80
Case No. 42,7,2018-05-19 04:28:52,3,40
Case No. 42,7,2018-05-19 04:30:12,3,80
Case No. 42,7,2018-05-19 04:31:32,3,80
Case No. 43,0,2018-05-20 00:10:51,9,70759
Case No. 43,1,2018-05-20 00:11:06,1,15
Case No. 43,2,2018-05-20 00:11:16,2,10
Case No. 43,3,2018-05-20 00:12:06,3,50
Case No. 43,4,2018-05-20 00:12:42,4,36
Case No. 43,5,2018-05-20 00:12:58,7,16
Case No. 43,6,2018-05-20 00:13:28,6,30
