CaseID,Activity,CompleteTimestamp,Resource,ElapsedTime
Case No. 8,3,2019-02-20 22:37:14,1,67
Case No. 8,8,2019-02-20 22:59:27,3,96
Case No. 8,7,2019-02-20 23:04:40,2,144
Case No. 8,1,2019-02-20 23:14:31,1,2
Case No. 8,6,2019-02-20 23:32:56,4,51
Case No. 8,9,2019-02-20 23:33:01,3,40
Case No. 8,9,2019-02-20 23:51:21,4,55
Case No. 8,5,2019-02-20 23:59:53,4,83
Case No. 8,6,2019-02-21 00:07:19,0,76
Case No. 8,2,2019-02-21 00:17:45,2,134
Case No. 8,4,2019-02-21 00:23:24,4,35
Case No. 8,2,2019-02-21 00:38:01,0,9
Case No. 8,5,2019-02-21 00:48:55,3,48
Case No. 8,8,2019-02-21 00:50:29,3,57
Case No. 9,0,2019-02-21 01:06:00,3,102
Case No. 9,3,2019-02-21 01:11:25,4,91
Case No. 9,8,2019-02-21 01:21:14,3,24
Case No. 9,7,2019-02-21 02:15:35,1,117
Case No. 9,1,2019-02-21 02:29:40,2,18
Case No. 9,9,2019-02-21 03:06:45,3,62
Case No. 9,6,2019-02-21 04:12:18,0,56
Case No. 9,6,2019-02-21 04:15:15,4,75
Case No. 9,9,2019-02-21 04:15:52,2,40
Case No. 9,5,2019-02-21 04:17:56,4,125
Case No. 9,5,2019-02-21 04:18:17,4,134
Case No. 10,0,2019-02-21 05:25:40,4,12
Case No. 10,3,2019-02-21 05:26:11,2,83
Case No. 10,8,2019-02-21 06:27:52,1,91
Case No. 10,7,2019-02-21 06:37:49,2,12
Case No. 10,5,2019-02-21 06:39:58,4,54
Case No. 10,5,2019-02-21 07:02:00,3,95
Case No. 10,9,2019-02-21 07:02:34,0,58
Case No. 10,9,2019-02-21 07:07:30,1,125
Case No. 10,6,2019-02-21 07:50:35,0,6
Case No. 10,6,2019-02-21 08:00:50,2,147
Case No. 10,1,2019-02-21 08:01:38,1,118
Case No. 11,0,2019-02-21 10:05:13,4,33
Case No. 11,3,2019-02-21 10:05:53,1,94
Case No. 11,8,2019-02-21 11:10:37,4,22
Case No. 11,7,2019-02-21 11:21:11,3,1
Case No. 11,1,2019-02-21 11:30:45,3,50
Case No. 11,9,2019-02-21 11:34:10,4,90
Case No. 11,6,2019-02-21 12:02:02,4,36
Case No. 11,6,2019-02-21 12:05:45,3,139
Case No. 11,5,2019-02-21 12:21:54,4,129
Case No. 11,9,2019-02-21 12:49:59,1,80
Case No. 12,0,2019-02-21 13:05:33,2,106
Case No. 12,3,2019-02-21 13:43:56,0,68
Case No. 12,8,2019-02-21 13:49:55,1,0
Case No. 12,7,2019-02-21 14:04:21,4,114
Case No. 12,1,2019-02-21 14:13:43,1,105
Case No. 12,5,2019-02-21 14:51:09,2,46
Case No. 12,9,2019-02-21 15:37:14,3,80
Case No. 12,9,2019-02-21 15:42:14,2,33
Case No. 12,6,2019-02-21 15:49:14,1,124
Case No. 12,6,2019-02-21 16:05:26,2,62
Case No. 13,0,2019-02-21 17:33:18,4,15
Case No. 13,3,2019-02-21 17:41:43,1,92
Case No. 13,8,2019-02-21 17:47:55,1,86
Case No. 13,7,2019-02-21 18:30:02,2,44
Case No. 13,1,2019-02-21 18:42:20,4,128
Case No. 13,5,2019-02-21 19:15:04,1,53
Case No. 13,9,2019-02-21 19:38:10,2,99
Case No. 13,6,2019-02-21 19:39:36,0,137
Case No. 13,6,2019-02-21 20:13:58,1,115
Case No. 13,9,2019-02-21 20:31:50,0,14
Case No. 14,0,2019-02-21 21:02:00,2,122
Case No. 14,3,2019-02-21 21:13:00,4,25
Case No. 14,8,2019-02-21 21:20:35,0,132
Case No. 14,7,2019-02-21 21:25:03,2,22
Case No. 14,1,2019-02-21 22:38:36,3,31
Case No. 14,5,2019-02-21 23:17:41,3,91
Case No. 14,6,2019-02-21 23:48:21,3,126
Case No. 14,9,2019-02-22 00:17:51,4,102
Case No. 14,6,2019-02-22 00:31:09,0,57
Case No. 14,9,2019-02-22 00:52:44,0,101
Case No. 15,0,2019-02-22 01:44:41,4,57
Case No. 15,3,2019-02-22 01:50:10,3,119
Case No. 15,8,2019-02-22 01:59:59,1,98
Case No. 15,7,2019-02-22 02:07:33,1,53
Case No. 15,1,2019-02-22 02:38:53,1,142
Case No. 15,5,2019-02-22 03:28:05,4,104
Case No. 15,6,2019-02-22 03:34:42,0,93
Case No. 15,9,2019-02-22 04:04:39,1,81
Case No. 15,9,2019-02-22 04:25:41,3,83
Case No. 15,6,2019-02-22 04:53:50,3,18
Case No. 16,0,2019-02-22 05:04:11,4,40
Case No. 16,3,2019-02-22 05:36:21,3,54
Case No. 16,8,2019-02-22 05:38:31,4,129
Case No. 16,7,2019-02-22 05:42:26,3,53
Case No. 16,1,2019-02-22 05:43:16,2,68
Case No. 16,5,2019-02-22 05:52:13,3,46
Case No. 16,6,2019-02-22 05:56:00,4,99
Case No. 16,9,2019-02-22 06:02:39,1,108
Case No. 16,9,2019-02-22 07:27:20,0,123
Case No. 16,1,2019-02-22 08:49:57,3,89
Case No. 17,0,2019-02-22 09:33:07,2,126
Case No. 17,3,2019-02-22 10:22:38,2,9
Case No. 17,8,2019-02-22 10:26:11,0,116
Case No. 17,7,2019-02-22 10:36:54,0,103
Case No. 17,1,2019-02-22 11:08:36,1,6
Case No. 17,5,2019-02-22 11:18:14,2,143
Case No. 17,6,2019-02-22 11:21:04,3,0
Case No. 17,9,2019-02-22 11:49:10,0,65
Case No. 17,6,2019-02-22 12:16:58,4,127
Case No. 17,9,2019-02-22 12:32:48,3,32
Case No. 17,8,2019-02-22 12:55:55,1,7
Case No. 18,0,2019-02-22 13:14:28,1,96
Case No. 18,3,2019-02-22 13:30:02,2,105
Case No. 18,8,2019-02-22 14:48:57,1,54
Case No. 18,7,2019-02-22 15:03:51,4,32
Case No. 18,1,2019-02-22 15:27:42,2,60
Case No. 18,5,2019-02-22 15:37:58,4,80
Case No. 18,6,2019-02-22 15:41:34,0,29
Case No. 18,9,2019-02-22 16:15:44,4,44
Case No. 18,9,2019-02-22 16:19:54,1,99
Case No. 18,6,2019-02-22 16:23:25,0,92
Case No. 19,0,2019-02-22 17:00:21,1,55
Case No. 19,3,2019-02-22 17:28:36,3,96
Case No. 19,8,2019-02-22 17:28:43,0,136
Case No. 19,7,2019-02-22 17:43:57,1,146
Case No. 19,1,2019-02-22 17:46:51,2,12
Case No. 19,5,2019-02-22 18:01:52,2,149
Case No. 19,6,2019-02-22 18:27:43,4,70
Case No. 19,9,2019-02-22 19:36:47,2,34
Case No. 19,6,2019-02-22 20:08:26,0,102
Case No. 19,9,2019-02-22 20:19:11,3,56
Case No. 20,0,2019-02-22 21:37:59,3,76
Case No. 20,3,2019-02-22 21:46:28,0,58
Case No. 20,8,2019-02-22 21:48:37,0,55
Case No. 20,7,2019-02-22 22:10:18,2,24
Case No. 20,1,2019-02-22 23:06:14,2,12
Case No. 20,5,2019-02-22 23:17:32,1,40
Case No. 20,9,2019-02-22 23:47:01,0,43
Case No. 20,6,2019-02-22 23:57:08,2,88
Case No. 20,9,2019-02-22 23:58:55,0,80
Case No. 20,6,2019-02-23 00:51:33,4,50
Case No. 21,0,2019-02-23 00:59:14,1,79
Case No. 21,3,2019-02-23 02:59:21,2,138
Case No. 21,8,2019-02-23 03:05:28,2,144
Case No. 21,7,2019-02-23 03:20:07,4,123
Case No. 21,1,2019-02-23 03:45:55,4,130
Case No. 21,5,2019-02-23 03:46:08,1,88
Case No. 21,9,2019-02-23 04:31:33,0,86
Case No. 21,6,2019-02-23 04:34:10,0,54
Case No. 21,9,2019-02-23 04:39:37,1,89
Case No. 21,6,2019-02-23 04:41:21,3,16
Case No. 22,0,2019-02-23 05:25:34,2,96
Case No. 22,3,2019-02-23 05:58:47,1,101
Case No. 22,8,2019-02-23 06:13:53,4,15
Case No. 22,7,2019-02-23 06:18:53,1,77
Case No. 22,1,2019-02-23 06:34:19,3,148
Case No. 22,5,2019-02-23 06:38:54,3,117
Case No. 22,9,2019-02-23 07:02:33,3,66
Case No. 22,6,2019-02-23 07:36:27,1,46
Case No. 22,6,2019-02-23 07:59:10,0,68
Case No. 22,9,2019-02-23 08:31:53,1,39
Case No. 23,0,2019-02-23 09:36:21,4,147
Case No. 23,3,2019-02-23 10:05:22,1,5
Case No. 23,8,2019-02-23 10:08:59,4,9
Case No. 23,7,2019-02-23 10:43:09,3,4
Case No. 23,1,2019-02-23 11:02:37,4,91
Case No. 23,5,2019-02-23 11:11:43,1,67
Case No. 23,6,2019-02-23 11:24:15,0,85
Case No. 23,6,2019-02-23 11:30:33,3,145
Case No. 23,9,2019-02-23 12:41:22,2,21
Case No. 23,9,2019-02-23 12:50:35,3,7
Case No. 24,0,2019-02-23 13:00:34,4,62
Case No. 24,3,2019-02-23 13:16:33,1,134
Case No. 24,8,2019-02-23 13:41:15,0,121
Case No. 24,7,2019-02-23 14:10:15,1,84
Case No. 24,1,2019-02-23 14:45:56,0,97
Case No. 24,5,2019-02-23 15:14:29,0,62
Case No. 24,9,2019-02-23 15:36:10,4,134
Case No. 24,9,2019-02-23 15:48:01,4,21
Case No. 24,6,2019-02-23 16:31:55,4,130
Case No. 24,6,2019-02-23 16:50:07,2,3
Case No. 25,0,2019-02-23 17:02:42,0,124
Case No. 25,3,2019-02-23 17:17:57,4,102
Case No. 25,8,2019-02-23 17:21:35,1,138
Case No. 25,7,2019-02-23 17:30:22,1,49
Case No. 25,1,2019-02-23 18:17:40,1,129
Case No. 25,5,2019-02-23 18:55:09,0,47
Case No. 25,6,2019-02-23 19:01:36,2,7
Case No. 25,6,2019-02-23 20:01:11,2,78
Case No. 25,9,2019-02-23 20:12:03,3,66
Case No. 25,9,2019-02-23 20:19:04,4,10
Case No. 26,0,2019-02-23 21:39:12,1,137
Case No. 26,3,2019-02-23 21:55:41,1,64
Case No. 26,8,2019-02-23 22:23:08,3,67
Case No. 26,7,2019-02-23 22:34:58,0,4
Case No. 26,1,2019-02-23 23:32:37,3,96
Case No. 26,9,2019-02-23 23:51:36,3,49
Case No. 26,6,2019-02-23 23:57:42,3,61
Case No. 26,5,2019-02-23 23:59:39,2,119
Case No. 26,9,2019-02-24 00:03:45,1,126
Case No. 26,6,2019-02-24 00:52:09,2,33
Case No. 27,0,2019-02-24 01:03:16,0,105
Case No. 27,3,2019-02-24 01:07:53,2,148
Case No. 27,8,2019-02-24 01:52:59,4,72
Case No. 27,7,2019-02-24 02:01:06,1,46
Case No. 27,1,2019-02-24 03:23:06,1,124
Case No. 27,9,2019-02-24 03:36:39,0,67
Case No. 27,6,2019-02-24 03:46:13,0,107
Case No. 27,5,2019-02-24 04:14:05,0,87
Case No. 27,6,2019-02-24 04:15:40,1,2
Case No. 27,9,2019-02-24 04:47:14,4,55
Case No. 28,0,2019-02-24 05:26:29,0,86
Case No. 28,3,2019-02-24 06:04:57,4,117
Case No. 28,8,2019-02-24 06:05:00,1,83
Case No. 28,7,2019-02-24 06:40:16,1,121
Case No. 28,1,2019-02-24 06:46:19,4,89
Case No. 28,9,2019-02-24 07:01:26,4,139
Case No. 28,6,2019-02-24 08:05:54,0,64
Case No. 28,5,2019-02-24 08:21:23,4,150
Case No. 28,6,2019-02-24 08:30:53,1,34
Case No. 28,9,2019-02-24 08:35:50,4,106
Case No. 29,0,2019-02-24 09:06:36,3,113
Case No. 29,3,2019-02-24 09:12:27,3,102
Case No. 29,8,2019-02-24 09:26:18,1,105
Case No. 29,7,2019-02-24 09:38:19,1,129
Case No. 29,1,2019-02-24 09:43:55,4,78
Case No. 29,9,2019-02-24 09:52:35,3,144
Case No. 29,5,2019-02-24 09:53:20,2,110
Case No. 29,6,2019-02-24 11:55:39,3,94
Case No. 29,9,2019-02-24 12:22:46,1,39
Case No. 29,6,2019-02-24 12:49:12,2,105
Case No. 30,0,2019-02-24 13:38:39,2,108
Case No. 30,3,2019-02-24 13:52:47,0,79
Case No. 30,8,2019-02-24 13:54:49,4,123
Case No. 30,7,2019-02-24 14:36:04,0,96
Case No. 30,1,2019-02-24 15:04:53,4,32
Case No. 30,9,2019-02-24 15:15:12,0,137
Case No. 30,5,2019-02-24 15:34:16,4,141
Case No. 30,6,2019-02-24 16:23:04,0,87
Case No. 30,6,2019-02-24 16:30:51,3,22
Case No. 30,9,2019-02-24 16:42:51,4,46
Case No. 31,0,2019-02-24 17:53:57,3,139
Case No. 31,3,2019-02-24 17:59:39,1,116
Case No. 31,8,2019-02-24 18:00:43,2,87
Case No. 31,7,2019-02-24 18:08:19,4,128
Case No. 31,1,2019-02-24 18:23:46,3,125
Case No. 31,9,2019-02-24 18:37:39,1,20
Case No. 31,5,2019-02-24 19:30:49,0,124
Case No. 31,6,2019-02-24 19:33:32,0,147
Case No. 31,6,2019-02-24 20:12:12,4,43
Case No. 31,9,2019-02-24 20:53:15,2,4
Case No. 32,0,2019-02-24 20:57:24,0,130
Case No. 32,3,2019-02-24 21:26:47,0,52
Case No. 32,8,2019-02-24 22:20:06,0,73
Case No. 32,7,2019-02-24 22:22:31,3,56
Case No. 32,1,2019-02-24 23:06:49,1,130
Case No. 32,9,2019-02-24 23:21:30,3,28
Case No. 32,5,2019-02-24 23:34:14,2,52
Case No. 32,6,2019-02-24 23:41:22,4,23
Case No. 32,9,2019-02-24 23:41:56,4,110
Case No. 32,6,2019-02-25 00:25:42,1,9
Case No. 33,0,2019-02-25 01:04:14,4,18
Case No. 33,3,2019-02-25 01:08:51,0,4
Case No. 33,8,2019-02-25 01:12:08,4,86
Case No. 33,7,2019-02-25 02:14:54,2,26
Case No. 33,1,2019-02-25 02:52:45,2,96
Case No. 33,9,2019-02-25 03:40:53,4,145
Case No. 33,6,2019-02-25 04:00:07,1,36
Case No. 33,5,2019-02-25 04:10:06,3,1
Case No. 33,9,2019-02-25 04:16:36,2,7
Case No. 33,6,2019-02-25 04:34:29,2,69
Case No. 34,0,2019-02-25 05:41:40,0,127
Case No. 34,3,2019-02-25 05:56:55,0,37
Case No. 34,8,2019-02-25 06:19:38,0,126
Case No. 34,7,2019-02-25 06:47:41,0,139
Case No. 34,1,2019-02-25 06:59:05,2,115
Case No. 34,6,2019-02-25 07:02:37,0,61
Case No. 34,5,2019-02-25 07:26:51,3,2
Case No. 34,9,2019-02-25 07:51:23,1,100
Case No. 34,9,2019-02-25 08:17:58,4,59
Case No. 34,6,2019-02-25 08:45:59,3,138
Case No. 35,0,2019-02-25 08:56:59,3,65
Case No. 35,3,2019-02-25 09:24:17,2,120
Case No. 35,8,2019-02-25 10:00:52,1,40
Case No. 35,7,2019-02-25 10:30:13,3,23
Case No. 35,1,2019-02-25 10:57:18,4,112
Case No. 35,6,2019-02-25 11:38:56,2,68
Case No. 35,9,2019-02-25 12:15:19,1,135
Case No. 35,5,2019-02-25 12:16:02,0,7
Case No. 35,9,2019-02-25 12:34:21,4,117
Case No. 35,6,2019-02-25 12:47:53,1,106
Case No. 36,0,2019-02-25 13:03:28,3,15
Case No. 36,3,2019-02-25 13:16:53,2,114
Case No. 36,8,2019-02-25 13:48:29,1,147
Case No. 36,7,2019-02-25 13:56:16,4,14
Case No. 36,1,2019-02-25 14:26:45,2,48
Case No. 36,6,2019-02-25 15:04:14,2,77
Case No. 36,5,2019-02-25 15:06:00,1,6
Case No. 36,9,2019-02-25 15:30:00,1,90
Case No. 36,9,2019-02-25 16:08:23,4,17
Case No. 36,6,2019-02-25 16:29:15,4,147
Case No. 37,0,2019-02-25 16:57:18,4,116
Case No. 37,3,2019-02-25 17:00:11,1,89
Case No. 37,8,2019-02-25 18:36:11,0,82
Case No. 37,7,2019-02-25 19:04:19,3,61
Case No. 37,1,2019-02-25 19:20:52,1,35
Case No. 37,6,2019-02-25 19:29:53,4,103
Case No. 37,5,2019-02-25 19:44:02,0,72
Case No. 37,9,2019-02-25 19:56:44,1,23
Case No. 37,6,2019-02-25 20:19:13,3,28
Case No. 37,9,2019-02-25 20:24:02,3,121
Case No. 38,0,2019-02-25 21:42:15,0,82
Case No. 38,3,2019-02-25 21:56:01,1,5
Case No. 38,8,2019-02-25 22:29:11,1,136
Case No. 38,7,2019-02-25 23:12:30,4,40
Case No. 38,1,2019-02-25 23:15:28,1,138
Case No. 38,6,2019-02-25 23:23:26,0,80
Case No. 38,9,2019-02-25 23:53:30,2,90
Case No. 38,5,2019-02-25 23:53:30,2,48
Case No. 38,6,2019-02-26 00:12:51,0,67
Case No. 38,9,2019-02-26 00:35:30,1,38
Case No. 39,0,2019-02-26 01:54:09,2,2
Case No. 39,3,2019-02-26 02:13:58,0,142
Case No. 39,8,2019-02-26 02:26:15,2,61
Case No. 39,7,2019-02-26 03:15:50,3,19
Case No. 39,1,2019-02-26 03:27:13,3,38
Case No. 39,6,2019-02-26 04:24:29,1,13
Case No. 39,5,2019-02-26 04:31:27,2,31
Case No. 39,9,2019-02-26 04:33:23,0,141
Case No. 39,6,2019-02-26 04:38:53,4,35
Case No. 39,9,2019-02-26 04:42:54,2,85
Case No. 40,0,2019-02-26 05:39:20,2,4
Case No. 40,3,2019-02-26 05:57:42,1,89
Case No. 40,8,2019-02-26 06:02:00,4,113
Case No. 40,7,2019-02-26 06:36:24,3,71
Case No. 40,1,2019-02-26 06:47:42,1,94
Case No. 40,6,2019-02-26 08:04:17,0,128
Case No. 40,9,2019-02-26 08:15:50,4,117
Case No. 40,5,2019-02-26 08:31:07,4,60
Case No. 40,9,2019-02-26 08:34:37,2,4
Case No. 40,6,2019-02-26 08:49:48,4,97
Case No. 41,0,2019-02-26 09:02:24,3,125
Case No. 41,3,2019-02-26 10:49:34,2,49
Case No. 41,8,2019-02-26 10:52:36,2,138
Case No. 41,7,2019-02-26 10:56:41,4,130
Case No. 41,1,2019-02-26 11:05:58,1,87
Case No. 41,6,2019-02-26 11:17:15,3,15
Case No. 41,9,2019-02-26 11:25:19,0,125
Case No. 41,5,2019-02-26 11:41:36,0,102
Case No. 41,6,2019-02-26 12:18:46,1,148
Case No. 41,9,2019-02-26 12:35:11,2,91
Case No. 42,0,2019-02-26 13:02:11,0,86
Case No. 42,3,2019-02-26 13:09:16,3,64
Case No. 42,8,2019-02-26 14:33:39,4,10
Case No. 42,7,2019-02-26 14:48:04,1,112
Case No. 42,1,2019-02-26 15:37:53,0,94
Case No. 42,9,2019-02-26 15:47:56,3,61
Case No. 42,9,2019-02-26 16:32:02,0,23
Case No. 42,5,2019-02-26 16:39:01,2,98
Case No. 42,6,2019-02-26 16:39:47,2,49
Case No. 42,6,2019-02-26 16:47:26,0,111
Case No. 43,0,2019-02-26 17:12:04,0,45
Case No. 43,3,2019-02-26 17:42:37,3,143
Case No. 43,8,2019-02-26 18:36:26,4,47
Case No. 43,7,2019-02-26 18:52:25,3,144
Case No. 43,1,2019-02-26 19:09:51,3,16
Case No. 43,9,2019-02-26 19:09:55,2,7
Case No. 43,9,2019-02-26 20:11:37,0,137
Case No. 43,5,2019-02-26 20:23:28,0,84
Case No. 43,6,2019-02-26 20:32:00,0,78
Case No. 43,6,2019-02-26 20:42:19,2,49
Case No. 44,0,2019-02-26 21:45:43,3,46
Case No. 44,3,2019-02-26 21:52:41,3,36
Case No. 44,8,2019-02-26 21:52:56,0,150
Case No. 44,7,2019-02-26 21:53:22,2,139
Case No. 44,1,2019-02-26 22:04:15,0,110
Case No. 44,9,2019-02-26 23:09:04,1,98
Case No. 44,5,2019-02-26 23:18:58,0,104
Case No. 44,9,2019-02-27 00:02:53,2,12
Case No. 44,6,2019-02-27 00:08:29,1,65
Case No. 44,6,2019-02-27 00:52:35,4,58
Case No. 45,0,2019-02-27 00:57:29,1,146
Case No. 45,3,2019-02-27 01:01:16,0,31
Case No. 45,8,2019-02-27 01:03:40,1,45
Case No. 45,7,2019-02-27 01:09:55,3,22
Case No. 45,1,2019-02-27 02:50:03,0,6
Case No. 45,9,2019-02-27 03:22:26,0,41
Case No. 45,5,2019-02-27 03:24:18,2,29
Case No. 45,9,2019-02-27 03:41:54,3,45
Case No. 45,6,2019-02-27 03:43:07,0,122
Case No. 45,6,2019-02-27 03:45:21,2,116
Case No. 46,0,2019-02-27 05:09:03,4,99
Case No. 46,3,2019-02-27 06:26:48,1,104
Case No. 46,8,2019-02-27 07:19:40,0,105
Case No. 46,7,2019-02-27 08:10:49,1,48
Case No. 46,1,2019-02-27 08:12:27,2,105
Case No. 46,6,2019-02-27 08:13:19,1,91
Case No. 46,6,2019-02-27 08:23:39,4,146
Case No. 46,5,2019-02-27 08:24:23,4,92
Case No. 46,9,2019-02-27 08:34:50,3,62
Case No. 46,9,2019-02-27 08:46:32,2,33
Case No. 47,0,2019-02-27 09:14:18,1,60
Case No. 47,3,2019-02-27 09:36:32,4,1
Case No. 47,8,2019-02-27 09:51:33,2,70
Case No. 47,7,2019-02-27 09:57:24,1,115
Case No. 47,1,2019-02-27 09:59:36,2,115
Case No. 47,6,2019-02-27 10:12:51,0,81
Case No. 47,5,2019-02-27 10:23:50,4,37
Case No. 47,6,2019-02-27 10:51:10,2,48
Case No. 47,9,2019-02-27 11:04:41,3,112
Case No. 47,9,2019-02-27 11:57:43,3,126
Case No. 48,0,2019-02-27 13:18:06,0,88
Case No. 48,3,2019-02-27 13:53:04,2,142
Case No. 48,8,2019-02-27 15:13:10,1,117
Case No. 48,7,2019-02-27 15:23:51,1,54
Case No. 48,1,2019-02-27 15:59:49,2,117
Case No. 48,6,2019-02-27 16:00:19,3,106
Case No. 48,5,2019-02-27 16:11:54,4,147
Case No. 48,6,2019-02-27 16:16:16,3,48
Case No. 48,9,2019-02-27 16:47:41,4,96
Case No. 48,9,2019-02-27 16:49:11,2,125
Case No. 49,0,2019-02-27 17:00:48,2,53
Case No. 49,3,2019-02-27 18:06:16,2,123
Case No. 49,8,2019-02-27 18:39:02,0,1
Case No. 49,7,2019-02-27 18:58:48,0,61
Case No. 49,1,2019-02-27 19:08:50,4,137
Case No. 49,6,2019-02-27 19:36:30,3,10
Case No. 49,6,2019-02-27 19:45:01,1,74
Case No. 49,5,2019-02-27 20:03:18,2,41
Case No. 49,9,2019-02-27 20:20:34,0,33
Case No. 49,9,2019-02-27 20:44:52,4,41
Case No. 50,0,2019-02-27 21:07:32,0,5
Case No. 50,3,2019-02-27 22:04:27,2,14
Case No. 50,8,2019-02-27 22:12:38,1,139
Case No. 50,7,2019-02-27 22:14:06,4,147
Case No. 50,1,2019-02-27 22:44:02,2,96
Case No. 50,9,2019-02-27 22:48:42,3,106
Case No. 50,6,2019-02-27 22:53:05,4,29
Case No. 50,6,2019-02-27 23:01:05,0,66
Case No. 50,5,2019-02-27 23:40:28,3,29
Case No. 50,9,2019-02-28 00:30:12,0,82
Case No. 51,0,2019-02-28 01:04:19,0,138
Case No. 51,3,2019-02-28 01:45:51,1,150
